"gender","groupName","outfitKey","topId","topName","bottomId","bottomName","priceTotal","thumbnailUrl","color1","color2","color3","topUrl","bottomUrl"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323613009","SA | 60's Chiffon Party Dress (Almond Green)","11323571173","SA | 60's Chiffon Party Dress (Almond Green)","14","https://tr.rbxcdn.com/180DAY-0b1bbe9155b0ef399ab91102174dee18/420/420/Shirt/Png/noFilter","#ACABA7","#808477","#D1D0CB","https://www.roblox.com/catalog/11323613009","https://www.roblox.com/catalog/11323571173"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323613009","SA | 60's Chiffon Party Dress (Almond Green)","11323557282","SA | 60's Chiffon Party Dress (Baby Blue)","14","https://tr.rbxcdn.com/180DAY-0b1bbe9155b0ef399ab91102174dee18/420/420/Shirt/Png/noFilter","#ACABA7","#808477","#D1D0CB","https://www.roblox.com/catalog/11323613009","https://www.roblox.com/catalog/11323557282"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323613009","SA | 60's Chiffon Party Dress (Almond Green)","11323566004","SA | 60's Chiffon Party Dress (Peach)","14","https://tr.rbxcdn.com/180DAY-0b1bbe9155b0ef399ab91102174dee18/420/420/Shirt/Png/noFilter","#ACABA7","#808477","#D1D0CB","https://www.roblox.com/catalog/11323613009","https://www.roblox.com/catalog/11323566004"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323613009","SA | 60's Chiffon Party Dress (Almond Green)","11323561269","SA | 60's Chiffon Party Dress (Red)","14","https://tr.rbxcdn.com/180DAY-0b1bbe9155b0ef399ab91102174dee18/420/420/Shirt/Png/noFilter","#ACABA7","#808477","#D1D0CB","https://www.roblox.com/catalog/11323613009","https://www.roblox.com/catalog/11323561269"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323607801","SA | 60's Chiffon Party Dress (Tangerine)","11323556106","SA | 60's Chiffon Party Dress (Noir)","14","https://tr.rbxcdn.com/180DAY-7bbeaedfebe78ce775cea619166d2fa9/420/420/Shirt/Png/noFilter","#ABAAA6","#916B62","#8F8B87","https://www.roblox.com/catalog/11323607801","https://www.roblox.com/catalog/11323556106"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323607801","SA | 60's Chiffon Party Dress (Tangerine)","11323562249","SA | 60's Chiffon Party Dress (Tangerine)","14","https://tr.rbxcdn.com/180DAY-7bbeaedfebe78ce775cea619166d2fa9/420/420/Shirt/Png/noFilter","#ABAAA6","#916B62","#8F8B87","https://www.roblox.com/catalog/11323607801","https://www.roblox.com/catalog/11323562249"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323607801","SA | 60's Chiffon Party Dress (Tangerine)","11323571173","SA | 60's Chiffon Party Dress (Almond Green)","14","https://tr.rbxcdn.com/180DAY-7bbeaedfebe78ce775cea619166d2fa9/420/420/Shirt/Png/noFilter","#ABAAA6","#916B62","#8F8B87","https://www.roblox.com/catalog/11323607801","https://www.roblox.com/catalog/11323571173"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323607801","SA | 60's Chiffon Party Dress (Tangerine)","11323557282","SA | 60's Chiffon Party Dress (Baby Blue)","14","https://tr.rbxcdn.com/180DAY-7bbeaedfebe78ce775cea619166d2fa9/420/420/Shirt/Png/noFilter","#ABAAA6","#916B62","#8F8B87","https://www.roblox.com/catalog/11323607801","https://www.roblox.com/catalog/11323557282"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323607801","SA | 60's Chiffon Party Dress (Tangerine)","11323566004","SA | 60's Chiffon Party Dress (Peach)","14","https://tr.rbxcdn.com/180DAY-7bbeaedfebe78ce775cea619166d2fa9/420/420/Shirt/Png/noFilter","#ABAAA6","#916B62","#8F8B87","https://www.roblox.com/catalog/11323607801","https://www.roblox.com/catalog/11323566004"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323607801","SA | 60's Chiffon Party Dress (Tangerine)","11323561269","SA | 60's Chiffon Party Dress (Red)","14","https://tr.rbxcdn.com/180DAY-7bbeaedfebe78ce775cea619166d2fa9/420/420/Shirt/Png/noFilter","#ABAAA6","#916B62","#8F8B87","https://www.roblox.com/catalog/11323607801","https://www.roblox.com/catalog/11323561269"
